Songs,Mood,Energy,Beats
"Dil To Pagal Hai",Happy,Medium,Mid-tempo
"Bahon Mein Chale Aao",Happy,Medium,Mid-tempo
"Piya Tose Naina Lage Re",Happy,Medium,Mid-tempo
"Ae Dil E Nadan",Sad,Medium,Mid-tempo
"Mera Saaya Saath Hoga",Sad,Medium,Slow
"Aaja Re Pardesi",Sad,Medium,Slow
"Tum Aa Gaye Ho Noor Aa Gaya",Happy,Medium,Mid-tempo
"Kabhi Kabhi Mere Dil Mein",Sad,Medium,Mid-tempo
"Chalte Chalte Yunhi Koi Mil Gaya Tha",Happy,Medium,Mid-tempo
"Mere Khwabon Mein",Happy,Medium,Mid-tempo
"Tere Bina Zindagi Se",Sad,Medium,Slow
"Aayega Aanewala",Sad,Medium,Slow
"Aaja Re Pardesi",Sad,Medium,Slow
"Jab Pyar Kiya To Darna Kya",Happy,Medium,Mid-tempo
"Aayega Aanewala",Sad,Medium,Slow
"Lag Ja Gale",Happy,Medium,Mid-tempo
"Ae Mere Watan Ke Logo",Sad,Medium,Mid-tempo
"Tere Bina Zindagi Se",Sad,Medium,Slow
"Ajeeb Dastan Hai Yeh",Sad,Medium,Mid-tempo
"Pyar Kiya To Darna Kya",Happy,Medium,Mid-tempo
"Yeh Kahaan Aa Gaye Hum",Happy,Medium,Mid-tempo
"Tere Bina Jiya Jaye Na",Sad,Medium,Slow
"Aap Ki Nazron Ne Samjha",Happy,Medium,Mid-tempo
"Aayega Aanewala",Sad,Medium,Slow
"Jiya Jale",Happy,Medium,Mid-tempo
"Dil To Pagal Hai",Happy,Medium,Mid-tempo
"Bahon Mein Chale Aao",Happy,Medium,Mid-tempo
"Piya Tose Naina Lage Re",Happy,Medium,Mid-tempo
"Ae Dil E Nadan",Sad,Medium,Mid-tempo
"Mera Saaya Saath Hoga",Sad,Medium,Slow
"Aaja Re Pardesi",Sad,Medium,Slow
"Tum Aa Gaye Ho Noor Aa Gaya",Happy,Medium,Mid-tempo
"Kabhi Kabhi Mere Dil Mein",Sad,Medium,Mid-tempo
"Chalte Chalte Yunhi Koi Mil Gaya Tha",Happy,Medium,Mid-tempo
"Mere Khwabon Mein",Happy,Medium,Mid-tempo
"Dum Maro Dum",Happy,High,Fast
"Piya Tu Ab To Aaja",Happy,High,Fast
"Yeh Mera Dil",Happy,High,Fast
"Aao Huzoor Tumko",Happy,Medium,Mid-tempo
"Chura Liya Hai Tumne",Happy,Medium,Mid-tempo
"Dil Cheez Kya Hai",Happy,Medium,Mid-tempo
"Jaane Jaan Dhoondta Phir Raha",Happy,Medium,Mid-tempo
"Jawani Jan-E-Man",Happy,High,Fast
"Rangeela Re",Happy,High,Fast
"Do Lafzon Ki Hai Dil Ki Kahani",Happy,Medium,Mid-tempo
"O Mere Sona Re",Happy,High,Fast
"Dil Lena Khel Hai Dildar Ka",Happy,High,Fast
"Aaja Aaja Main Hoon Pyar Tera",Happy,High,Fast
"Duniya Mein Logon Ko",Happy,Medium,Mid-tempo
"Piya Tu Ab To Aaja",Happy,High,Fast
"Yeh Mera Dil",Happy,High,Fast
"Aao Huzoor Tumko",Happy,Medium,Mid-tempo
"Chura Liya Hai Tumne",Happy,Medium,Mid-tempo
"Dil Cheez Kya Hai",Happy,Medium,Mid-tempo
"Jaane Jaan Dhoondta Phir Raha",Happy,Medium,Mid-tempo
"Jawani Jan-E-Man",Happy,High,Fast
"Rangeela Re",Happy,High,Fast
"Do Lafzon Ki Hai Dil Ki Kahani",Happy,Medium,Mid-tempo
"O Mere Sona Re",Happy,High,Fast
"Dil Lena Khel Hai Dildar Ka",Happy,High,Fast
"Aaja Aaja Main Hoon Pyar Tera",Happy,High,Fast
"Duniya Mein Logon Ko",Happy,Medium,Mid-tempo
"Piya Tu Ab To Aaja",Happy,High,Fast
"Yeh Mera Dil",Happy,High,Fast
"Aao Huzoor Tumko",Happy,Medium,Mid-tempo
"Chura Liya Hai Tumne",Happy,Medium,Mid-tempo
"Dil Cheez Kya Hai",Happy,Medium,Mid-tempo
"Jaane Jaan Dhoondta Phir Raha",Happy,Medium,Mid-tempo
"Jawani Jan-E-Man",Happy,High,Fast
"Rangeela Re",Happy,High,Fast
"Do Lafzon Ki Hai Dil Ki Kahani",Happy,Medium,Mid-tempo
"O Mere Sona Re",Happy,High,Fast
"Dil Lena Khel Hai Dildar Ka",Happy,High,Fast
"Aaja Aaja Main Hoon Pyar Tera",Happy,High,Fast
"Duniya Mein Logon Ko",Happy,Medium,Mid-tempo
"Piya Tu Ab To Aaja",Happy,High,Fast
"Yeh Mera Dil",Happy,High,Fast
"Aao Huzoor Tumko",Happy,Medium,Mid-tempo
"Chura Liya Hai Tumne",Happy,Medium,Mid-tempo
"Dil Cheez Kya Hai",Happy,Medium,Mid-tempo
"Jaane Jaan Dhoondta Phir Raha",Happy,Medium,Mid-tempo
"Jawani Jan-E-Man",Happy,High,Fast
"Viva La Vida",Happy,High,Fast
"Fix You",Sad,Medium,Slow
"Yellow",Happy,Medium,Mid-tempo
"Clocks",Happy,High,Fast
"The Scientist",Sad,Medium,Slow
"Paradise",Happy,High,Fast
"Adventure of a Lifetime",Happy,High,Fast
"Every Teardrop Is a Waterfall",Happy,High,Fast
"Speed of Sound",Happy,Medium,Mid-tempo
"A Sky Full of Stars",Happy,High,Fast
"Something Just Like This",Happy,High,Fast
"Magic",Happy,Medium,Mid-tempo
"Talk",Happy,Medium,Mid-tempo
"In My Place",Sad,Medium,Mid-tempo
"Trouble",Sad,Medium,Slow
"Strawberry Swing",Happy,Medium,Mid-tempo
"Hymn for the Weekend",Happy,High,Fast
"Don't Panic",Sad,Medium,Slow
"White Shadows",Happy,High,Fast
"Life in Technicolor ii",Happy,High,Fast
"Clocks",Happy,High,Fast
"Fix You",Sad,Medium,Slow
"Yellow",Happy,Medium,Mid-tempo
"The Scientist",Sad,Medium,Slow
"Paradise",Happy,High,Fast
"Adventure of a Lifetime",Happy,High,Fast
"Every Teardrop Is a Waterfall",Happy,High,Fast
"Speed of Sound",Happy,Medium,Mid-tempo
"A Sky Full of Stars",Happy,High,Fast
"Something Just Like This",Happy,High,Fast
"Magic",Happy,Medium,Mid-tempo
"Talk",Happy,Medium,Mid-tempo
"In My Place",Sad,Medium,Mid-tempo
"Trouble",Sad,Medium,Slow
"Strawberry Swing",Happy,Medium,Mid-tempo
"Hymn for the Weekend",Happy,High,Fast
"Don't Panic",Sad,Medium,Slow
"White Shadows",Happy,High,Fast
"Life in Technicolor ii",Happy,High,Fast
"Clocks",Happy,High,Fast
"Fix You",Sad,Medium,Slow
"Yellow",Happy,Medium,Mid-tempo
"The Scientist",Sad,Medium,Slow
"Paradise",Happy,High,Fast
"Adventure of a Lifetime",Happy,High,Fast
"Every Teardrop Is a Waterfall",Happy,High,Fast
"Speed of Sound",Happy,Medium,Mid-tempo
"A Sky Full of Stars",Happy,High,Fast
"Something Just Like This",Happy,High,Fast
"Stronger",Happy,High,Fast
"Heartless",Sad,High,Fast
"Gold Digger",Happy,High,Fast
"Jesus Walks",Happy,High,Fast
"Power",Happy,High,Fast
"All of the Lights",Happy,High,Fast
"Black Skinhead",Happy,High,Fast
"Runaway",Sad,High,Slow
"Flashing Lights",Happy,High,Fast
"Bound 2",Happy,Medium,Mid-tempo
"Stronger",Happy,High,Fast
"Heartless",Sad,High,Fast
"Gold Digger",Happy,High,Fast
"Jesus Walks",Happy,High,Fast
"Power",Happy,High,Fast
"All of the Lights",Happy,High,Fast
"Black Skinhead",Happy,High,Fast
"Runaway",Sad,High,Slow
"Flashing Lights",Happy,High,Fast
"Bound 2",Happy,Medium,Mid-tempo
"Stronger",Happy,High,Fast
"Heartless",Sad,High,Fast
"Gold Digger",Happy,High,Fast
"Jesus Walks",Happy,High,Fast
"Power",Happy,High,Fast
"All of the Lights",Happy,High,Fast
"Black Skinhead",Happy,High,Fast
"Runaway",Sad,High,Slow
"Flashing Lights",Happy,High,Fast
"Bound 2",Happy,Medium,Mid-tempo
"Stronger",Happy,High,Fast
"Heartless",Sad,High,Fast
"Gold Digger",Happy,High,Fast
"Jesus Walks",Happy,High,Fast
"Power",Happy,High,Fast
"All of the Lights",Happy,High,Fast
"Black Skinhead",Happy,High,Fast
"Runaway",Sad,High,Slow
"Flashing Lights",Happy,High,Fast
"Bound 2",Happy,Medium,Mid-tempo
"Stronger",Happy,High,Fast
"Heartless",Sad,High,Fast
"Gold Digger",Happy,High,Fast
"Jesus Walks",Happy,High,Fast
"Power",Happy,High,Fast
"All of the Lights",Happy,High,Fast
"Black Skinhead",Happy,High,Fast
"Runaway",Sad,High,Slow
"Flashing Lights",Happy,High,Fast
"Bound 2",Happy,Medium,Mid-tempo
"Without Me",Sad,High,Slow
"Bad at Love",Sad,High,Mid-tempo
"Graveyard",Sad,Medium,Mid-tempo
"Colors",Sad,Medium,Mid-tempo
"Now or Never",Sad,High,Mid-tempo
"You should be sad",Sad,High,Slow
"Eastside",Sad,Medium,Mid-tempo
"Him & I",Sad,High,Mid-tempo
"Gasoline",Sad,High,Mid-tempo
"Castle",Sad,High,Slow
"Nightmare",Sad,High,Fast
"Clementine",Sad,Medium,Mid-tempo
"Alone",Sad,Medium,Mid-tempo
"Is There Somewhere",Sad,Medium,Slow
"Ghost",Sad,Medium,Mid-tempo
"Colors, Pt. II",Sad,Medium,Mid-tempo
"Drive",Sad,Medium,Mid-tempo
"Control",Sad,Medium,Mid-tempo
"Young God",Sad,High,Slow
"Still Learning",Sad,Medium,Mid-tempo
"Without Me",Sad,High,Slow
"Bad at Love",Sad,High,Mid-tempo
"Graveyard",Sad,Medium,Mid-tempo
"Colors",Sad,Medium,Mid-tempo
"Now or Never",Sad,High,Mid-tempo
"You should be sad",Sad,High,Slow
"Eastside",Sad,Medium,Mid-tempo
"Him & I",Sad,High,Mid-tempo
"Gasoline",Sad,High,Mid-tempo
"Castle",Sad,High,Slow
"Nightmare",Sad,High,Fast
"Clementine",Sad,Medium,Mid-tempo
"Alone",Sad,Medium,Mid-tempo
"Is There Somewhere",Sad,Medium,Slow
"Ghost",Sad,Medium,Mid-tempo
"Colors, Pt. II",Sad,Medium,Mid-tempo
"Drive",Sad,Medium,Mid-tempo
"Control",Sad,Medium,Mid-tempo
"Young God",Sad,High,Slow
"Still Learning",Sad,Medium,Mid-tempo
"Summertime Sadness",Sad,Medium,Slow
"Born to Die",Sad,Medium,Slow
"Video Games",Sad,Medium,Slow
"Young and Beautiful",Sad,Medium,Slow
"Blue Jeans",Sad,Medium,Mid-tempo
"National Anthem",Sad,Medium,Mid-tempo
"West Coast",Sad,Medium,Mid-tempo
"High by the Beach",Sad,Medium,Mid-tempo
"Love",Happy,Medium,Mid-tempo
"Ride",Sad,Medium,Mid-tempo
"Doin' Time",Happy,Medium,Mid-tempo
"Gods & Monsters",Sad,Medium,Mid-tempo
"Freak",Happy,Medium,Mid-tempo
"Mariners Apartment Complex",Happy,Medium,Mid-tempo
"Lust for Life",Happy,Medium,Mid-tempo
"Shades of Cool",Sad,Medium,Mid-tempo
"Venice Bitch",Happy,Medium,Mid-tempo
"Carmen",Sad,Medium,Mid-tempo
"Brooklyn Baby",Sad,Medium,Mid-tempo
"Ultraviolence",Sad,Medium,Slow
"Summertime Sadness",Sad,Medium,Slow
"Born to Die",Sad,Medium,Slow
"Video Games",Sad,Medium,Slow
"Young and Beautiful",Sad,Medium,Slow
"Blue Jeans",Sad,Medium,Mid-tempo
"National Anthem",Sad,Medium,Mid-tempo
"West Coast",Sad,Medium,Mid-tempo
"High by the Beach",Sad,Medium,Mid-tempo
"Love",Happy,Medium,Mid-tempo
"Ride",Sad,Medium,Mid-tempo
"Doin' Time",Happy,Medium,Mid-tempo
"Gods & Monsters",Sad,Medium,Mid-tempo
"Freak",Happy,Medium,Mid-tempo
"Mariners Apartment Complex",Happy,Medium,Mid-tempo
"Lust for Life",Happy,Medium,Mid-tempo
"Shades of Cool",Sad,Medium,Mid-tempo
"Venice Bitch",Happy,Medium,Mid-tempo
"Carmen",Sad,Medium,Mid-tempo
"Brooklyn Baby",Sad,Medium,Mid-tempo
"Ultraviolence",Sad,Medium,Slow
"Summertime Sadness",Sad,Medium,Slow
"Born to Die",Sad,Medium,Slow
"Video Games",Sad,Medium,Slow
"Young and Beautiful",Sad,Medium,Slow
"Blue Jeans",Sad,Medium,Mid-tempo
"National Anthem",Sad,Medium,Mid-tempo
"West Coast",Sad,Medium,Mid-tempo
"High by the Beach",Sad,Medium,Mid-tempo
"Love",Happy,Medium,Mid-tempo
"Brown Rang",Happy,High,Fast
"Dheere Dheere",Happy,Medium,Mid-tempo
"Blue Eyes",Happy,High,Fast
"Angreji Beat",Happy,High,Fast
"Desi Kalakaar",Happy,High,Fast
"Chaar Botal Vodka",Happy,High,Fast
"Lungi Dance",Happy,High,Fast
"Love Dose",Happy,High,Fast
"Party All Night",Happy,High,Fast
"Yaar Naa Miley",Happy,High,Fast
"High Heels",Happy,High,Fast
"Aata Majhi Satakli",Happy,High,Fast
"Sunny Sunny",Happy,High,Fast
"One Bottle Down",Happy,High,Fast
"Issey Kehte Hain Hip Hop",Happy,High,Fast
"Manali Trance",Happy,High,Fast
"Brown Rang",Happy,High,Fast
"Dheere Dheere",Happy,Medium,Mid-tempo
"Blue Eyes",Happy,High,Fast
"Angreji Beat",Happy,High,Fast
"Desi Kalakaar",Happy,High,Fast
"Chaar Botal Vodka",Happy,High,Fast
"Lungi Dance",Happy,High,Fast
"Love Dose",Happy,High,Fast
"Party All Night",Happy,High,Fast
"Yaar Naa Miley",Happy,High,Fast
"High Heels",Happy,High,Fast
"Aata Majhi Satakli",Happy,High,Fast
"Sunny Sunny",Happy,High,Fast
"One Bottle Down",Happy,High,Fast
"Issey Kehte Hain Hip Hop",Happy,High,Fast
"Manali Trance",Happy,High,Fast
"Brown Rang",Happy,High,Fast
"Dheere Dheere",Happy,Medium,Mid-tempo
"Blue Eyes",Happy,High,Fast
"Angreji Beat",Happy,High,Fast
"Desi Kalakaar",Happy,High,Fast
"Chaar Botal Vodka",Happy,High,Fast
"Lungi Dance",Happy,High,Fast
"Love Dose",Happy,High,Fast
"Party All Night",Happy,High,Fast
"Yaar Naa Miley",Happy,High,Fast
"High Heels",Happy,High,Fast
"Aata Majhi Satakli",Happy,High,Fast
"Sunny Sunny",Happy,High,Fast
"One Bottle Down",Happy,High,Fast
"Issey Kehte Hain Hip Hop",Happy,High,Fast
"Manali Trance",Happy,High,Fast
"Nayan Tarse",Sad,Medium,Slow
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Nayan Tarse",Sad,Medium,Slow
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Nayan Tarse",Sad,Medium,Slow
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Nayan Tarse",Sad,Medium,Slow
"Naina Da Kya Kasoor",Sad,Medium,Mid-tempo
"Iktara",Happy,Medium,Mid-tempo
"Love You Zindagi",Happy,Medium,Mid-tempo
"Zinda",Happy,High,Fast
"Manmarziyan",Happy,High,Fast
"Hey Jude",Happy,High,Slow
"Let It Be",Happy,Medium,Slow
"Yesterday",Sad,Medium,Slow
"Come Together",Happy,High,Mid-tempo
"Twist and Shout",Happy,High,Fast
"Help!",Happy,High,Fast
"Here Comes the Sun",Happy,High,Mid-tempo
"A Hard Day's Night",Happy,High,Fast
"Lucy in the Sky with Diamonds",Happy,High,Mid-tempo
"All You Need Is Love",Happy,High,Mid-tempo
"Yellow Submarine",Happy,High,Fast
"I Want to Hold Your Hand",Happy,High,Fast
"Penny Lane",Happy,High,Mid-tempo
"Can't Buy Me Love",Happy,High,Fast
"Help!",Happy,High,Fast
"Eight Days a Week",Happy,High,Fast
"Paperback Writer",Happy,High,Fast
"Eleanor Rigby",Sad,Medium,Slow
"Hello, Goodbye",Happy,High,Mid-tempo
"All My Loving",Happy,High,Fast
"Hey Jude",Happy,High,Slow
"Let It Be",Happy,Medium,Slow
"Yesterday",Sad,Medium,Slow
"Come Together",Happy,High,Mid-tempo
"Twist and Shout",Happy,High,Fast
"Help!",Happy,High,Fast
"Here Comes the Sun",Happy,High,Mid-tempo
"A Hard Day's Night",Happy,High,Fast
"Lucy in the Sky with Diamonds",Happy,High,Mid-tempo
"All You Need Is Love",Happy,High,Mid-tempo
"Yellow Submarine",Happy,High,Fast
"I Want to Hold Your Hand",Happy,High,Fast
"Penny Lane",Happy,High,Mid-tempo
"Can't Buy Me Love",Happy,High,Fast
"Help!",Happy,High,Fast
"Eight Days a Week",Happy,High,Fast
"Paperback Writer",Happy,High,Fast
"Eleanor Rigby",Sad,Medium,Slow
"Hello, Goodbye",Happy,High,Mid-tempo
"All My Loving",Happy,High,Fast
"Hey Jude",Happy,High,Slow
"Let It Be",Happy,Medium,Slow
"Yesterday",Sad,Medium,Slow
"Come Together",Happy,High,Mid-tempo
"Twist and Shout",Happy,High,Fast
"Help!",Happy,High,Fast
"Here Comes the Sun",Happy,High,Mid-tempo
"A Hard Day's Night",Happy,High,Fast
"Lucy in the Sky with Diamonds",Happy,High,Mid-tempo
"All You Need Is Love",Happy,High,Mid-tempo
"Yellow Submarine",Happy,High,Fast
"I Want to Hold Your Hand",Happy,High,Fast
"Penny Lane",Happy,High,Mid-tempo
"Can't Buy Me Love",Happy,High,Fast
"Help!",Happy,High,Fast
"Eight Days a Week",Happy,High,Fast
"Paperback Writer",Happy,High,Fast
"Eleanor Rigby",Sad,Medium,Slow
"Hello, Goodbye",Happy,High,Mid-tempo
"All My Loving",Happy,High,Fast
"Piano Man",Happy,Medium,Slow
"Uptown Girl",Happy,High,Fast
"Just the Way You Are",Happy,Medium,Slow
"We Didn't Start the Fire",Happy,High,Fast
"The River of Dreams",Happy,High,Mid-tempo
"Vienna",Sad,Medium,Slow
"Movin' Out (Anthony's Song)",Happy,High,Fast
"She's Always a Woman",Sad,Medium,Slow
"Only the Good Die Young",Happy,High,Fast
"New York State of Mind",Sad,Medium,Slow
"You May Be Right",Happy,High,Fast
"My Life",Happy,High,Fast
"Scenes from an Italian Restaurant",Happy,Medium,Slow
"It's Still Rock and Roll to Me",Happy,High,Fast
"She's Got a Way",Sad,Medium,Slow
"Don't Ask Me Why",Sad,Medium,Slow
"Piano Man",Happy,Medium,Slow
"Uptown Girl",Happy,High,Fast
"Just the Way You Are",Happy,Medium,Slow
"We Didn't Start the Fire",Happy,High,Fast
"The River of Dreams",Happy,High,Mid-tempo
"Vienna",Sad,Medium,Slow
"Movin' Out (Anthony's Song)",Happy,High,Fast
"She's Always a Woman",Sad,Medium,Slow
"Only the Good Die Young",Happy,High,Fast
"New York State of Mind",Sad,Medium,Slow
"You May Be Right",Happy,High,Fast
"My Life",Happy,High,Fast
"Scenes from an Italian Restaurant",Happy,Medium,Slow
"It's Still Rock and Roll to Me",Happy,High,Fast
"She's Got a Way",Sad,Medium,Slow
"Don't Ask Me Why",Sad,Medium,Slow
"Piano Man",Happy,Medium,Slow
"Uptown Girl",Happy,High,Fast
"Just the Way You Are",Happy,Medium,Slow
"We Didn't Start the Fire",Happy,High,Fast
"The River of Dreams",Happy,High,Mid-tempo
"Vienna",Sad,Medium,Slow
"Movin' Out (Anthony's Song)",Happy,High,Fast
"She's Always a Woman",Sad,Medium,Slow
"Only the Good Die Young",Happy,High,Fast
"New York State of Mind",Sad,Medium,Slow
"You May Be Right",Happy,High,Fast
"My Life",Happy,High,Fast
"Scenes from an Italian Restaurant",Happy,Medium,Slow
"It's Still Rock and Roll to Me",Happy,High,Fast
"She's Got a Way",Sad,Medium,Slow
"Don't Ask Me Why",Sad,Medium,Slow
"drivers license",Sad,Medium,Slow
"good 4 u",Sad,High,Fast
"deja vu",Sad,High,Mid-tempo
"traitor",Sad,Medium,Slow
"brutal",Sad,High,Fast
"enough for you",Sad,Medium,Slow
"happier",Sad,Medium,Slow
"hope ur ok",Sad,Medium,Slow
"jealousy, jealousy",Sad,Medium,Mid-tempo
"favorite crime",Sad,Medium,Slow
"1 step forward, 3 steps back",Sad,Medium,Slow
"drivers license",Sad,Medium,Slow
"good 4 u",Sad,High,Fast
"deja vu",Sad,High,Mid-tempo
"traitor",Sad,Medium,Slow
"brutal",Sad,High,Fast
"enough for you",Sad,Medium,Slow
"happier",Sad,Medium,Slow
"hope ur ok",Sad,Medium,Slow
"jealousy, jealousy",Sad,Medium,Mid-tempo
"favorite crime",Sad,Medium,Slow
"1 step forward, 3 steps back",Sad,Medium,Slow
"drivers license",Sad,Medium,Slow
"good 4 u",Sad,High,Fast
"deja vu",Sad,High,Mid-tempo
"traitor",Sad,Medium,Slow
"brutal",Sad,High,Fast
"enough for you",Sad,Medium,Slow
"happier",Sad,Medium,Slow
"hope ur ok",Sad,Medium,Slow
"jealousy, jealousy",Sad,Medium,Mid-tempo
"favorite crime",Sad,Medium,Slow
"1 step forward, 3 steps back",Sad,Medium,Slow
"drivers license",Sad,Medium,Slow
"good 4 u",Sad,High,Fast
"deja vu",Sad,High,Mid-tempo
"traitor",Sad,Medium,Slow
"brutal",Sad,High,Fast
"enough for you",Sad,Medium,Slow
"happier",Sad,Medium,Slow
"hope ur ok",Sad,Medium,Slow
"jealousy, jealousy",Sad,Medium,Mid-tempo
"favorite crime",Sad,Medium,Slow
"1 step forward, 3 steps back",Sad,Medium,Slow
"drivers license",Sad,Medium,Slow
"good 4 u",Sad,High,Fast
"deja vu",Sad,High,Mid-tempo
"traitor",Sad,Medium,Slow
"brutal",Sad,High,Fast
"enough for you",Sad,Medium,Slow
"happier",Sad,Medium,Slow
"hope ur ok",Sad,Medium,Slow
"jealousy, jealousy",Sad,Medium,Mid-tempo
"favorite crime",Sad,Medium,Slow
"1 step forward, 3 steps back",Sad,Medium,Slow
"XS",Happy,High,Fast
"STFU!",Angry,High,Fast
"Chosen Family",Happy,Medium,Slow
"Dynasty",Sad,High,Slow
"Comme des Garçons (Like the Boys)",Happy,High,Fast
"Bad Friend",Sad,High,Mid-tempo
"Akasaka Sad",Sad,Medium,Slow
"Love Me 4 Me",Happy,Medium,Mid-tempo
"Paradisin'",Happy,High,Fast
"Tokyo Love Hotel",Sad,High,Slow
"Who's Gonna Save U Now?",Sad,High,Fast
"XS",Happy,High,Fast
"STFU!",Angry,High,Fast
"Chosen Family",Happy,Medium,Slow
"Dynasty",Sad,High,Slow
"Comme des Garçons (Like the Boys)",Happy,High,Fast
"Bad Friend",Sad,High,Mid-tempo
"Akasaka Sad",Sad,Medium,Slow
"Love Me 4 Me",Happy,Medium,Mid-tempo
"Paradisin'",Happy,High,Fast
"Tokyo Love Hotel",Sad,High,Slow
"Who's Gonna Save U Now?",Sad,High,Fast
"XS",Happy,High,Fast
"STFU!",Angry,High,Fast
"Chosen Family",Happy,Medium,Slow
"Dynasty",Sad,High,Slow
"Comme des Garçons (Like the Boys)",Happy,High,Fast
"Bad Friend",Sad,High,Mid-tempo
"Akasaka Sad",Sad,Medium,Slow
"Love Me 4 Me",Happy,Medium,Mid-tempo
"Paradisin'",Happy,High,Fast
"Tokyo Love Hotel",Sad,High,Slow
"Who's Gonna Save U Now?",Sad,High,Fast
"XS",Happy,High,Fast
"STFU!",Angry,High,Fast
"Chosen Family",Happy,Medium,Slow
"Dynasty",Sad,High,Slow
"Comme des Garçons (Like the Boys)",Happy,High,Fast
"Bad Friend",Sad,High,Mid-tempo
"Akasaka Sad",Sad,Medium,Slow
"Love Me 4 Me",Happy,Medium,Mid-tempo
"Paradisin'",Happy,High,Fast
"Tokyo Love Hotel",Sad,High,Slow
"Who's Gonna Save U Now?",Sad,High,Fast
"XS",Happy,High,Fast
"STFU!",Angry,High,Fast
"Chosen Family",Happy,Medium,Slow
"Dynasty",Sad,High,Slow
"Comme des Garçons (Like the Boys)",Happy,High,Fast
"Bad Friend",Sad,High,Mid-tempo
"Akasaka Sad",Sad,Medium,Slow
"Love Me 4 Me",Happy,Medium,Mid-tempo
"Paradisin'",Happy,High,Fast
"Tokyo Love Hotel",Sad,High,Slow
"Who's Gonna Save U Now?",Sad,High,Fast
"I Want It That Way",Happy,Medium,Slow
"Everybody (Backstreet's Back)",Happy,High,Fast
"As Long As You Love Me",Happy,High,Mid-tempo
"Shape of My Heart",Sad,Medium,Slow
"Quit Playing Games (with My Heart)",Sad,Medium,Slow
"Show Me the Meaning of Being Lonely",Sad,Medium,Slow
"Larger than Life",Happy,High,Fast
"Incomplete",Sad,Medium,Slow
"The Call",Sad,High,Fast
"I Want It That Way",Happy,Medium,Slow
"Everybody (Backstreet's Back)",Happy,High,Fast
"As Long As You Love Me",Happy,High,Mid-tempo
"Shape of My Heart",Sad,Medium,Slow
"Quit Playing Games (with My Heart)",Sad,Medium,Slow
"Show Me the Meaning of Being Lonely",Sad,Medium,Slow
"Larger than Life",Happy,High,Fast
"Incomplete",Sad,Medium,Slow
"The Call",Sad,High,Fast
"I Want It That Way",Happy,Medium,Slow
"Everybody (Backstreet's Back)",Happy,High,Fast
"As Long As You Love Me",Happy,High,Mid-tempo
"Shape of My Heart",Sad,Medium,Slow
"Quit Playing Games (with My Heart)",Sad,Medium,Slow
"Show Me the Meaning of Being Lonely",Sad,Medium,Slow
"Larger than Life",Happy,High,Fast
"Incomplete",Sad,Medium,Slow
"The Call",Sad,High,Fast
"I Want It That Way",Happy,Medium,Slow
"Everybody (Backstreet's Back)",Happy,High,Fast
"As Long As You Love Me",Happy,High,Mid-tempo
"Shape of My Heart",Sad,Medium,Slow
"Quit Playing Games (with My Heart)",Sad,Medium,Slow
